event_id,origin_time,year,magnitude,depth_km,method,rmse,mae,class_accuracy,class_within_1,class_mae,effective_density,n_station_all
i2011_004633,2011-04-07 23:32:43.46,2011,7.2,65.89,gmpe_raw,0.6157658945704552,0.4877911653082057,0.5296370967741936,0.9351851851851851,0.5483870967741935,0.0,1860
i2011_004633,2011-04-07 23:32:43.46,2011,7.2,65.89,idw,0.3787814555101505,0.28568883781446097,0.6925403225806452,0.9877538829151732,0.31821236559139787,23.265716574136693,1860
i2011_004633,2011-04-07 23:32:43.46,2011,7.2,65.89,kriging,0.3863841698456295,0.29306196807325124,0.6861239119303635,0.9876792114695341,0.32685291858678955,23.265716574136693,1860
i2016_000476,2016-04-14 21:26:34.43,2016,6.5,11.39,gmpe_calibrated,0.5013448728180636,0.40231822351948077,0.5963541666666667,0.9744652270884022,0.4350355112936749,17.709589765942994,823
i2016_000476,2016-04-14 21:26:34.43,2016,6.5,11.39,gmpe_kriging,0.46603085745918676,0.36080177441897154,0.6219598687904488,0.9844804318488529,0.3944773925385239,17.709589765942994,823
i2016_000476,2016-04-14 21:26:34.43,2016,6.5,11.39,gmpe_raw,0.7532357681938359,0.635339828918392,0.4420019399460189,0.952887537993921,0.6058886688928948,0.0,823
i2016_000476,2016-04-14 21:26:34.43,2016,6.5,11.39,idw,0.4520820274686079,0.3510632191327243,0.6269590314922624,0.9878480981504497,0.38866396761133604,17.709589765942994,823
i2016_000476,2016-04-14 21:26:34.43,2016,6.5,11.39,kriging,0.46339768019516614,0.36037569035449807,0.6209619601889338,0.9851019457324786,0.39532787611927067,17.709589765942994,823
i2016_000599,2016-04-15 00:03:46.45,2016,6.4,6.71,gmpe_calibrated,0.5177030299547671,0.4116360120836474,0.61457744439695,0.9712262833675565,0.4202898550724637,23.59917915424544,695
i2016_000599,2016-04-15 00:03:46.45,2016,6.4,6.71,gmpe_kriging,0.44573314814464404,0.352257034317954,0.6394457329413676,0.9884726224783862,0.37300939535845656,23.59917915424544,695
i2016_000599,2016-04-15 00:03:46.45,2016,6.4,6.71,gmpe_raw,1.0414995794538728,0.9282437812874176,0.24297659137577,0.8741716632443532,0.8874446043165467,0.0,695
i2016_000599,2016-04-15 00:03:46.45,2016,6.4,6.71,idw,0.43373708430147834,0.34154013964352803,0.6498074927953891,0.987410071942446,0.36235619596541785,23.59917915424544,695
i2016_000599,2016-04-15 00:03:46.45,2016,6.4,6.71,kriging,0.4469763472777275,0.35313724963922877,0.6391865742740652,0.9865280024784,0.3776978417266187,23.59917915424544,695
i2016_000828,2016-04-16 01:25:05.47,2016,7.3,12.45,gmpe_calibrated,0.48817129897308353,0.3836104797067667,0.6392304298125876,0.9597235830827828,0.4091992603201333,27.81286745700847,1798
i2016_000828,2016-04-16 01:25:05.47,2016,7.3,12.45,gmpe_kriging,0.380834039031854,0.2854714987429683,0.6957730812013347,0.9833333333333332,0.3188081066782984,27.81286745700847,1798
i2016_000828,2016-04-16 01:25:05.47,2016,7.3,12.45,gmpe_raw,0.6869512514830876,0.5661771464142682,0.47482010856812407,0.9332457695157571,0.5975044311990799,0.0,1798
